Mode,EPSA1 & EPSA2,EPSA2 Heaters,EPSA3,OBC,S-BAND,X-BAND,ADCS,Payload 1,Payload 2,Payload 3,Payload 4,Payload 5,Payload 6,Total Power (W)
Detumble,2.035,0.0,0.0,5.670000000000001,0.0,0.0,0.9660000000000001,0.0,0.0,0.0,0.0,0.0,0.0,8.671000000000001
Sun-Simple,2.035,0.0,0.0,5.670000000000001,0.0,0.0,7.8855,0.0,0.0,0.0,0.0,0.0,0.0,15.590500000000002
Coasting,2.035,0.0,0.0,5.670000000000001,0.0,0.0,6.6255,0.0,0.0,0.0,0.0,0.0,0.0,14.3305
Observation,2.035,0.0,0.0,5.670000000000001,0.0,0.0,6.6255,0.0,0.0,0.0,0.0,0.0,0.0,14.3305
GS-Tracking,2.035,0.0,0.0,5.670000000000001,0.0,0.0,6.6255,0.0,0.0,0.0,0.0,0.0,0.0,14.3305
Sun-Pointing,2.035,0.0,0.0,5.670000000000001,0.0,0.0,6.941,0.0,0.0,0.0,0.0,0.0,0.0,14.646
S-Band,2.035,0.0,0.0,5.670000000000001,12.0855,0.0,6.6255,0.0,0.0,0.0,0.0,0.0,0.0,26.416
X-Band,2.035,0.0,0.0,5.670000000000001,0.0,18.1125,6.6255,0.0,0.0,0.0,0.0,0.0,0.0,32.443000000000005
S & X Band,2.035,0.0,0.0,5.670000000000001,12.0855,18.1125,6.6255,0.0,0.0,0.0,0.0,0.0,0.0,44.52850000000001
Propulsion Firing,2.035,0.0,1.1,5.670000000000001,0.0,0.0,6.941,0.0,0.0,0.0,0.0,0.0,0.0,15.746000000000002
Payload Nominal,2.035,0.0,1.1,5.670000000000001,0.0,0.0,6.6255,5.5,2.2,2.64,2.2,6.6000000000000005,0.0,34.5705
Payload High,2.035,0.0,1.1,5.670000000000001,0.0,0.0,6.6255,5.5,8.8,2.64,2.2,6.6000000000000005,0.0,41.170500000000004
Imaging,2.035,0.0,1.1,6.1530000000000005,0.0,0.0,6.6255,5.5,2.2,2.64,2.2,6.6000000000000005,5.5,40.5535
Readout,2.035,0.0,1.1,6.1530000000000005,0.0,0.0,6.6255,5.5,2.2,2.64,2.2,6.6000000000000005,11.0,46.0535
